fire_id,a,b,ha,yr
4358,0.6199892163276672,8.38499927520752,2.0,2023
4359,8.039756774902344,28.149333953857422,0.2,2023
4360,11.966355323791504,12.111903190612793,0.07,2023
4362,,,0.16,2023
4363,69.2733154296875,88.80655670166016,0.3,2023
4365,22.229148864746094,63.46003723144531,0.01,2023
4366,91.47364044189453,49.7223014831543,0.05,2023
4367,32.282718658447266,7.453075885772705,3.0,2023
4368,49.82930374145508,5.949075222015381,0.06,2023
4370,28.612449645996094,4.811561584472656,0.1,2023
4372,0.0010794909903779626,0.005127582233399153,0.5,2023
4374,23.503488540649414,2.989920139312744,0.01,2023
4375,0.11982350051403046,0.6646965742111206,0.3,2023
4378,1.8802034854888916,0.7982836365699768,0.12,2023
4379,7.125218868255615,12.089466094970703,0.06,2023
